Tournament,team_id,Team,region,round_name,round_order,appearances,total_brackets,round_probability
M,1345,Z02,Z,Round of 32,2,9,10,0.9
M,1345,Z02,Z,Round of 64,1,9,10,0.9
M,1345,Z02,Z,Sweet 16,3,7,10,0.7
M,1365,Y10,Y,Round of 32,2,2,10,0.2
M,1365,Y10,Y,Round of 64,1,6,10,0.6
M,1378,W11,W,Round of 64,1,6,10,0.6
M,1385,W05,W,Round of 32,2,2,10,0.2
M,1385,W05,W,Round of 64,1,6,10,0.6
M,1385,W05,W,Sweet 16,3,1,10,0.1
M,1387,Y09,Y,Round of 32,2,2,10,0.2
M,1387,Y09,Y,Round of 64,1,6,10,0.6
M,1387,Y09,Y,Sweet 16,3,2,10,0.2
M,1388,X07,X,Round of 64,1,5,10,0.5
M,1395,W09,W,Round of 64,1,6,10,0.6
M,1397,Y06,Y,Round of 32,2,3,10,0.3
M,1397,Y06,Y,Round of 64,1,8,10,0.8
M,1397,Y06,Y,Sweet 16,3,1,10,0.1
M,1401,X10,X,Round of 64,1,5,10,0.5
M,1403,Y05,Y,Elite Eight,4,1,10,0.1
M,1403,Y05,Y,Final Four,5,1,10,0.1
M,1403,Y05,Y,Round of 32,2,6,10,0.6
M,1403,Y05,Y,Round of 64,1,8,10,0.8
M,1403,Y05,Y,Sweet 16,3,2,10,0.2
M,1407,X13,X,Round of 64,1,2,10,0.2
M,1416,W10,W,Round of 64,1,1,10,0.1
M,1417,W07,W,Elite Eight,4,1,10,0.1
M,1417,W07,W,Round of 32,2,5,10,0.5
M,1417,W07,W,Round of 64,1,9,10,0.9
M,1417,W07,W,Sweet 16,3,2,10,0.2
M,1429,Z09,Z,Round of 32,2,1,10,0.1
M,1429,Z09,Z,Round of 64,1,5,10,0.5
M,1433,X11,X,Round of 32,2,2,10,0.2
M,1433,X11,X,Round of 64,1,2,10,0.2
M,1433,X11,X,Sweet 16,3,1,10,0.1
M,1435,X05,X,Round of 32,2,3,10,0.3
M,1435,X05,X,Round of 64,1,7,10,0.7
M,1435,X05,X,Sweet 16,3,3,10,0.3
M,1437,Z08,Z,Round of 32,2,1,10,0.1
M,1437,Z08,Z,Round of 64,1,5,10,0.5
M,1437,Z08,Z,Sweet 16,3,1,10,0.1
M,1438,Y03,Y,Round of 32,2,7,10,0.7
M,1438,Y03,Y,Round of 64,1,10,10,1
M,1438,Y03,Y,Sweet 16,3,2,10,0.2
M,1458,Z05,Z,Round of 32,2,4,10,0.4
M,1458,Z05,Z,Round of 64,1,8,10,0.8
M,1458,Z05,Z,Sweet 16,3,1,10,0.1
M,1465,W13,W,Round of 64,1,1,10,0.1
M,1474,Z15,Z,Round of 32,2,1,10,0.1
M,1474,Z15,Z,Round of 64,1,1,10,0.1
